datetime,id,rank
2018-03-09 23:58:45.329740,34,32038
2018-03-09 23:58:45.329740,35,187
2018-03-09 23:58:45.329740,36,314
2018-03-09 23:58:45.329740,37,65
2018-03-09 23:58:45.329740,38,372
2018-03-09 23:58:45.329740,39,971
2018-03-09 23:58:45.329740,40,1226
2018-03-09 23:58:45.329740,41,3909
2018-03-09 23:58:45.329740,42,240
2018-03-09 23:58:45.329740,43,402
2018-03-09 23:58:45.329740,44,280
2018-03-09 23:58:45.329740,45,2971
2018-03-09 23:58:45.329740,46,1068
2018-03-09 23:58:45.329740,47,455
2018-03-09 23:58:45.329740,48,186
2018-03-09 23:58:45.329740,49,31
2018-03-09 23:58:45.329740,50,1568
2018-03-09 23:58:45.329740,52,334
2018-03-09 23:58:45.329740,53,375
2018-03-09 23:58:45.329740,54,972
2018-03-09 23:58:45.329740,55,160
2018-03-09 23:58:45.329740,56,4505
2018-03-09 23:58:45.329740,57,1977
2018-03-09 23:58:45.329740,58,8065
2018-03-09 23:58:45.329740,59,5893
2018-03-09 23:58:45.329740,60,1567
2018-03-09 23:58:45.329740,61,6918
2018-03-09 23:58:45.329740,62,98
2018-03-09 23:58:45.329740,63,302
2018-03-09 23:58:45.329740,64,254
2018-03-09 23:58:45.329740,65,128
2018-03-09 23:58:45.329740,66,833
2018-03-09 23:58:45.329740,67,937
2018-03-09 23:58:45.329740,68,110
2018-03-09 23:58:45.329740,69,77
2018-03-09 23:58:45.329740,70,979
2018-03-09 23:58:45.329740,71,1507
2018-03-09 23:58:45.329740,72,233
2018-03-09 23:58:45.329740,73,56
2018-03-09 23:58:45.329740,74,4654
2018-03-09 23:58:45.329740,75,17250
2018-03-09 23:58:45.329740,76,1155
2018-03-09 23:58:45.329740,78,647
2018-03-09 23:58:45.329740,79,1289
2018-03-11 00:23:01.467944,0,461
2018-03-11 00:23:01.467944,1,231
2018-03-11 00:23:01.467944,2,644
2018-03-11 00:23:01.467944,3,66
2018-03-11 00:23:01.467944,4,105
2018-03-11 00:23:01.467944,5,1413
2018-03-11 00:23:01.467944,6,7585
2018-03-11 00:23:01.467944,7,157
2018-03-11 00:23:01.467944,8,174
2018-03-11 00:23:01.467944,9,2032
2018-03-11 00:23:01.467944,10,24
2018-03-11 00:23:01.467944,11,209
2018-03-11 00:23:01.467944,12,327
2018-03-11 00:23:01.467944,13,1040
2018-03-11 00:23:01.467944,14,173
2018-03-11 00:23:01.467944,15,81
2018-03-11 00:23:01.467944,16,171
2018-03-11 00:23:01.467944,17,205
2018-03-11 00:23:01.467944,18,59
2018-03-11 00:23:01.467944,19,203
2018-03-11 00:23:01.467944,20,2670
2018-03-11 00:23:01.467944,21,10968
2018-03-11 00:23:01.467944,22,1012
2018-03-11 00:23:01.467944,23,1716
2018-03-11 00:23:01.467944,24,9446
2018-03-11 00:23:01.467944,25,4429
2018-03-11 00:23:01.467944,26,14125
2018-03-11 00:23:01.467944,27,80
2018-03-11 00:23:01.467944,28,10149
2018-03-11 00:23:01.467944,29,158
2018-03-11 00:23:01.467944,30,109
2018-03-11 00:23:01.467944,31,154
2018-03-11 00:23:01.467944,32,706
2018-03-11 00:23:01.467944,33,1319
2018-03-11 00:23:01.467944,34,30877
2018-03-11 00:23:01.467944,35,187
2018-03-11 00:23:01.467944,36,319
2018-03-11 00:23:01.467944,37,65
2018-03-11 00:23:01.467944,38,380
2018-03-11 00:23:01.467944,39,979
2018-03-11 00:23:01.467944,40,1225
2018-03-11 00:23:01.467944,41,3894
